vehicle_id,vehicle_type,speed,frame_number,timestamp
404,bus,0,2808,2026-01-14 21:58:28
405,car,0,2809,2026-01-14 21:58:28
406,car,0,2809,2026-01-14 21:58:28
407,car,0,2814,2026-01-14 21:58:29
408,car,0,2814,2026-01-14 21:58:29
409,car,0,2814,2026-01-14 21:58:29
410,car,0,2815,2026-01-14 21:58:29
411,car,0,2817,2026-01-14 21:58:29
412,car,0,2818,2026-01-14 21:58:29
413,car,0,2818,2026-01-14 21:58:29
414,car,0,2818,2026-01-14 21:58:29
415,car,0,2819,2026-01-14 21:58:29
416,car,0,2819,2026-01-14 21:58:29
417,car,0,2820,2026-01-14 21:58:29
418,car,0,2820,2026-01-14 21:58:29
419,car,0,2821,2026-01-14 21:58:30
420,car,0,2823,2026-01-14 21:58:30
421,car,0,2825,2026-01-14 21:58:30
422,car,0,2826,2026-01-14 21:58:30
423,car,0,2826,2026-01-14 21:58:30
424,car,0,2828,2026-01-14 21:58:30
425,car,0,2828,2026-01-14 21:58:30
426,car,0,2828,2026-01-14 21:58:30
427,car,0,2828,2026-01-14 21:58:30
428,car,0,2829,2026-01-14 21:58:30
429,car,0,2829,2026-01-14 21:58:30
430,car,0,2829,2026-01-14 21:58:30
431,car,0,2829,2026-01-14 21:58:30
432,car,0,2832,2026-01-14 21:58:31
433,car,0,2832,2026-01-14 21:58:31
434,car,0,2832,2026-01-14 21:58:31
435,car,0,2834,2026-01-14 21:58:31
436,car,0,2834,2026-01-14 21:58:31
437,car,0,2837,2026-01-14 21:58:31
438,car,0,2837,2026-01-14 21:58:31
439,car,0,2837,2026-01-14 21:58:31
440,car,0,2838,2026-01-14 21:58:31
441,car,0,2840,2026-01-14 21:58:31
442,car,0,2844,2026-01-14 21:58:32
443,car,0,2848,2026-01-14 21:58:32
444,car,0,2848,2026-01-14 21:58:32
445,car,0,2849,2026-01-14 21:58:32
446,car,0,2849,2026-01-14 21:58:32
447,car,0,2849,2026-01-14 21:58:32
448,car,0,2849,2026-01-14 21:58:32
449,car,0,2850,2026-01-14 21:58:32
450,car,0,2850,2026-01-14 21:58:32
451,car,0,2850,2026-01-14 21:58:32
452,car,0,2850,2026-01-14 21:58:32
453,car,0,2850,2026-01-14 21:58:32
454,car,0,2851,2026-01-14 21:58:33
455,car,0,2851,2026-01-14 21:58:33
456,car,0,2851,2026-01-14 21:58:33
457,car,0,2852,2026-01-14 21:58:33
458,car,0,2852,2026-01-14 21:58:33
459,car,0,2853,2026-01-14 21:58:33
460,car,0,2853,2026-01-14 21:58:33
461,car,0,2854,2026-01-14 21:58:33
462,car,0,2855,2026-01-14 21:58:33
463,car,0,2858,2026-01-14 21:58:33
464,car,0,2858,2026-01-14 21:58:33
465,car,0,2858,2026-01-14 21:58:33
466,car,0,2859,2026-01-14 21:58:33
467,car,0,2859,2026-01-14 21:58:33
468,car,0,2860,2026-01-14 21:58:34
469,car,0,2863,2026-01-14 21:58:34
470,car,0,2864,2026-01-14 21:58:34
471,car,0,2864,2026-01-14 21:58:34
472,car,0,2867,2026-01-14 21:58:34
473,car,0,2867,2026-01-14 21:58:34
474,car,0,2868,2026-01-14 21:58:34
475,car,0,2868,2026-01-14 21:58:34
476,bus,0,2868,2026-01-14 21:58:34
477,car,0,3119,2026-01-14 21:59:01
478,car,0,3120,2026-01-14 21:59:01
479,car,0,3121,2026-01-14 21:59:01
480,car,0,3128,2026-01-14 21:59:02
481,car,0,3129,2026-01-14 21:59:02
482,car,0,3131,2026-01-14 21:59:02
483,car,0,3131,2026-01-14 21:59:02
484,car,0,3131,2026-01-14 21:59:02
485,car,0,3133,2026-01-14 21:59:02
486,car,0,3134,2026-01-14 21:59:02
487,car,0,3135,2026-01-14 21:59:02
488,car,0,3136,2026-01-14 21:59:02
489,car,0,3136,2026-01-14 21:59:03
490,car,0,3137,2026-01-14 21:59:03
491,car,0,3137,2026-01-14 21:59:03
492,car,0,3137,2026-01-14 21:59:03
493,car,0,3141,2026-01-14 21:59:03
